Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Label
left,16.8588992,158.5170759,175.5580384,179.9658466,179.6359977,Jumping Jacks
left,28.87807224,144.7382048,174.5913788,178.2258152,177.4042685,Jumping Jacks
left,39.94630974,129.116877,172.5468973,176.9731415,174.0551739,Jumping Jacks
left,55.56977063,100.8738655,168.1141317,179.6667073,172.143443,Jumping Jacks
left,72.44937586,98.46633179,165.1424931,179.1547973,170.3061233,Jumping Jacks
left,89.16386535,103.1731032,162.1427165,179.6318408,166.5878957,Jumping Jacks
left,114.5708819,112.5123114,160.5379565,179.6229747,163.7950299,Jumping Jacks
left,135.2657518,115.5829234,156.4155817,178.314202,161.3836321,Jumping Jacks
left,148.4197189,122.8297748,155.1034581,179.9830871,158.0777112,Jumping Jacks
left,153.6639762,129.2468119,153.4397381,179.1871208,156.9217978,Jumping Jacks
left,151.4968431,132.8268351,155.636818,179.6229731,157.8356817,Jumping Jacks
left,135.2984359,122.9062123,158.6103219,179.2727529,159.9385898,Jumping Jacks
left,120.4363638,125.242363,159.4198602,177.1180822,164.3948535,Jumping Jacks
left,78.7931687,107.640872,162.5232695,176.2310389,168.8282975,Jumping Jacks
left,54.34709569,116.8367529,166.7170147,176.8106778,172.5540355,Jumping Jacks
left,34.76876442,154.6538202,172.5113994,179.4718635,175.8125724,Jumping Jacks
left,25.69938301,162.7807864,174.905063,179.227365,177.5271345,Jumping Jacks
left,15.74537332,167.1737246,176.7234738,179.9497581,179.4850138,Jumping Jacks
left,10.94148646,171.2462895,176.9809685,179.4811304,178.3181596,Jumping Jacks
left,8.69406116,177.7481646,176.1511106,177.6835578,176.722907,Jumping Jacks
left,8.308902553,177.7251607,176.0292844,176.388124,175.5392211,Jumping Jacks
left,9.385905933,173.8920299,176.319399,177.0506919,176.0421351,Jumping Jacks
left,11.70689433,175.2917831,175.7355922,177.1546369,176.697033,Jumping Jacks
left,11.76865403,155.6336613,175.1990779,178.6953633,178.8251631,Jumping Jacks
left,19.36521905,146.4351972,174.9323411,178.103681,178.7485511,Jumping Jacks
left,32.73745218,124.2428193,172.4752397,179.2573272,175.9868111,Jumping Jacks
left,43.39082035,103.5997126,169.6739535,179.5081583,173.184817,Jumping Jacks
left,66.37176635,92.89196922,166.1519049,179.9358982,170.0447344,Jumping Jacks
left,86.93631365,101.35453,163.8513009,179.9098926,167.5832643,Jumping Jacks
left,115.5347837,114.6243676,161.3628251,178.5219029,163.3172198,Jumping Jacks
left,131.4803522,118.5496359,159.6722689,179.1250257,161.6944542,Jumping Jacks
left,146.6144506,119.1662153,157.6844068,178.2089412,158.4803141,Jumping Jacks
left,154.0030083,125.2049535,156.1593157,179.1473581,157.4095522,Jumping Jacks
left,152.977792,127.3844695,157.3923066,179.0392427,158.2787898,Jumping Jacks
left,147.6412895,128.5826758,158.7542522,179.2898793,159.8215914,Jumping Jacks
left,137.49752,127.9468756,158.3302228,176.9540867,163.2155777,Jumping Jacks
left,114.5585112,117.1999411,160.7501324,177.4212067,165.499233,Jumping Jacks
left,91.54402077,107.1032828,165.834764,177.9398109,170.4084244,Jumping Jacks
left,72.50852611,104.0940769,170.6401266,179.0768864,172.597426,Jumping Jacks
left,49.26461004,112.1813817,174.3661401,177.9997251,175.7538188,Jumping Jacks
left,37.50780298,125.8912306,174.7764407,179.2425053,178.0645598,Jumping Jacks
left,24.10174193,140.1139285,175.155869,179.916631,179.6766703,Jumping Jacks
left,20.73523828,145.969639,174.7074441,178.9870312,179.2856761,Jumping Jacks
left,16.99117705,162.2374521,174.2608044,178.7949782,178.977008,Jumping Jacks
left,13.91394465,169.3560673,174.5609625,179.2720454,179.1967037,Jumping Jacks
left,9.512976991,172.9965537,175.0500145,179.6335892,179.9032107,Jumping Jacks
left,7.902669576,174.9752317,174.7102108,179.83704,179.9524764,Jumping Jacks
left,7.331757546,178.7673377,175.0035283,179.5230558,179.7749012,Jumping Jacks
left,7.535596809,179.4423844,175.3005635,179.3893362,179.63638,Jumping Jacks
left,8.048266259,177.4534649,175.4028317,179.8836475,179.9931915,Jumping Jacks
left,8.757514548,176.5654783,175.4275257,179.8932434,179.97705,Jumping Jacks
left,9.343376593,176.3580815,175.5180626,179.7438533,179.850772,Jumping Jacks
left,9.597041767,176.5806511,175.751524,179.2843473,179.5552948,Jumping Jacks
left,9.775906166,176.6480275,175.8147215,179.0954273,179.3789151,Jumping Jacks
left,9.896597905,176.5957983,175.7054565,179.3117731,179.4317849,Jumping Jacks
left,9.921242479,176.5772727,175.7195307,179.4414772,179.4832914,Jumping Jacks
left,9.897437951,176.6587592,175.7289578,179.5128371,179.5070283,Jumping Jacks
left,9.809923881,176.6981166,175.7454397,179.5460358,179.4995358,Jumping Jacks
left,9.761678967,176.7229902,175.7454278,179.5935529,179.5080665,Jumping Jacks
left,9.891300571,176.5074098,175.7794993,179.643864,179.5320202,Jumping Jacks
left,9.997387872,176.3761461,175.7976468,179.6895731,179.5695917,Jumping Jacks
left,10.03081497,176.3832766,175.8112473,179.7136521,179.6051714,Jumping Jacks
left,10.04861791,176.3679901,175.8309041,179.7485249,179.6472145,Jumping Jacks
left,10.06956104,176.3177307,175.9010788,179.7508694,179.6831711,Jumping Jacks
left,10.0774536,176.2739236,175.9664191,179.7315892,179.7013108,Jumping Jacks
left,10.09332279,176.1566577,176.0065176,179.7349555,179.7230266,Jumping Jacks
left,10.09623541,176.0689807,176.0161222,179.7457654,179.7376383,Jumping Jacks
left,10.09173179,176.0010596,176.0263908,179.7654081,179.7581421,Jumping Jacks
left,10.0617954,175.9983823,176.0312852,179.7871238,179.7784433,Jumping Jacks
left,10.05108207,175.9955569,176.0338282,179.8194466,179.807833,Jumping Jacks
left,10.04696499,176.0016824,176.0367852,179.8384482,179.8262979,Jumping Jacks
left,10.03969061,175.9997273,176.0371435,179.8612392,179.8467538,Jumping Jacks
left,10.03422854,175.990831,176.0383948,179.8755903,179.8603244,Jumping Jacks
left,10.02942093,175.9879471,176.0334335,179.8955536,179.8760775,Jumping Jacks
left,10.01987159,176.0046663,176.0237717,179.9124054,179.8857141,Jumping Jacks
left,10.01344749,176.017251,176.0175516,179.9232385,179.8928991,Jumping Jacks
left,10.00579023,176.0301354,176.0112621,179.9332369,179.9000486,Jumping Jacks
left,10.00582641,176.0071001,175.9855115,179.9667343,179.917909,Jumping Jacks
left,10.00845848,175.9851892,175.9705239,179.990776,179.9335165,Jumping Jacks
left,5.794044888,179.0475736,174.8460916,174.7484129,174.4829601,Jumping Jacks
left,5.912325042,179.2715158,174.5424917,175.3426309,174.7385522,Jumping Jacks
left,5.937335911,179.3993179,174.6667724,175.1228908,174.5455094,Jumping Jacks
left,5.883156965,179.2753333,175.6366666,173.1482174,173.5047892,Jumping Jacks
left,5.641035301,178.8136335,177.7145939,169.1095364,171.4200902,Jumping Jacks
left,5.473559488,177.7217757,179.5402284,165.4366186,169.432078,Jumping Jacks
left,4.831145671,176.2175128,176.8664616,160.5195446,167.3361723,Jumping Jacks
left,4.516131334,174.7268822,173.130171,157.2717585,166.4918333,Jumping Jacks
left,6.805470647,173.4031341,172.3450305,156.3342795,166.0070873,Jumping Jacks
left,10.30549707,170.903049,172.1752973,156.2472626,165.7169991,Jumping Jacks
left,16.28241817,168.6892902,172.2190474,156.2363719,165.6278372,Jumping Jacks
left,30.63192128,174.193613,172.5895892,156.9421403,166.0396468,Jumping Jacks
left,65.50829716,171.2282895,172.8958151,157.7546128,166.6011111,Jumping Jacks
left,113.3441207,139.0292199,173.9065981,160.9380817,168.7681594,Jumping Jacks
left,135.250674,167.7019052,176.2165221,168.0896407,172.9406447,Jumping Jacks
left,149.1494431,171.7473764,178.0918646,172.2101189,174.9264798,Jumping Jacks
left,155.3082422,179.5252695,179.8711182,174.4804473,175.4643231,Jumping Jacks
left,163.9813759,175.5217047,178.9303443,175.4268411,175.2391584,Jumping Jacks
left,169.3496882,176.3829536,177.5900154,176.6029021,175.0368344,Jumping Jacks
left,174.1200664,176.2310129,175.933764,178.4525314,175.2226643,Jumping Jacks
left,178.3077645,176.3242274,175.2671504,178.1380272,174.1187239,Jumping Jacks
left,179.2849961,176.4105453,175.2867073,176.6708889,172.5977783,Jumping Jacks
left,175.7722399,176.8671343,175.3423008,175.0729524,171.1784816,Jumping Jacks
left,174.5055088,177.7790822,174.6959684,174.7588915,170.5457401,Jumping Jacks
left,174.4458052,178.0289078,173.4223424,174.6153861,169.4159494,Jumping Jacks
left,174.2283921,177.950746,171.724248,177.2669023,170.5035019,Jumping Jacks
